iter	Passed	Remaining
455	838	1000
456	839	997
457	841	995
458	842	993
459	844	991
460	845	988
461	846	986
462	847	983
463	849	981
464	850	978
465	851	976
466	852	973
467	854	971
468	855	968
469	856	966
470	858	964
471	860	962
472	861	959
473	862	957
474	863	954
475	864	952
476	866	949
477	867	947
478	868	944
479	870	942
480	871	940
481	872	937
482	874	936
483	875	933
484	877	931
485	878	929
486	879	926
487	880	924
488	882	921
489	883	919
490	884	917
491	886	914
492	887	912
493	889	910
494	890	908
495	891	906
496	893	903
497	894	901
498	895	899
499	896	896
500	898	894
501	899	892
502	900	890
503	902	887
504	903	885
505	905	883
506	906	881
507	907	879
508	909	876
509	910	874
510	911	872
511	912	870
512	914	867
513	915	865
514	916	863
515	918	861
516	919	859
517	920	856
518	922	854
519	923	852
520	924	850
521	925	847
522	927	845
523	928	843
524	929	841
525	931	839
526	932	836
527	934	835
528	935	833
529	937	831
530	938	828
531	939	826
532	941	824
533	942	822
534	944	820
535	945	818
536	946	816
537	948	814
538	950	812
539	951	810
540	953	808
541	954	806
542	955	804
543	957	802
544	958	800
545	960	798
546	961	796
547	963	794
548	965	792
549	966	790
550	967	788
551	969	786
552	970	784
553	972	782
554	973	780
555	975	778
556	977	777
557	978	775
558	980	773
559	982	771
560	983	769
561	985	767
562	986	765
563	987	763
564	988	761
565	990	759
566	991	757
567	993	755
568	994	753
569	995	751
570	997	749
571	998	747
572	999	745
573	1001	743
574	1002	741
575	1004	739
576	1005	737
577	1006	735
578	1008	733
579	1009	731
580	1011	729
581	1012	727
582	1013	725
583	1014	722
584	1016	720
585	1017	718
586	1018	716
587	1019	714
588	1021	712
589	1022	710
590	1024	708
591	1025	706
592	1026	704
593	1027	702
594	1029	700
595	1030	698
596	1032	697
597	1034	695
598	1035	693
599	1037	691
600	1038	689
601	1039	687
602	1041	685
603	1042	683
604	1044	681
605	1047	680
606	1048	678
607	1049	676
608	1051	675
609	1053	673
610	1055	672
611	1057	670
612	1058	668
613	1060	666
614	1061	664
615	1063	662
616	1064	660
617	1065	658
618	1067	657
619	1069	655
620	1071	653
621	1072	651
622	1074	649
623	1075	648
624	1077	646
625	1078	644
626	1081	643
627	1084	642
628	1086	640
629	1089	639
630	1090	637
631	1092	635
632	1093	634
633	1095	632
634	1096	630
635	1097	628
636	1099	626
637	1101	624
638	1102	622
639	1104	621
640	1105	619
641	1106	617
642	1107	615
643	1109	613
644	1110	611
645	1112	609
646	1113	607
647	1114	605
648	1116	603
649	1117	601
650	1119	600
651	1120	598
652	1121	596
653	1122	594
654	1124	592
655	1125	590
656	1126	588
657	1128	586
658	1129	584
659	1130	582
660	1132	580
661	1133	578
662	1134	576
663	1135	574
664	1137	572
665	1138	570
666	1139	569
667	1140	567
668	1142	565
669	1144	563
670	1145	561
671	1146	559
672	1147	557
673	1149	555
674	1150	553
675	1151	552
676	1152	550
677	1154	548
678	1155	546
679	1156	544
680	1158	542
681	1159	540
682	1160	538
683	1162	536
684	1163	534
685	1164	533
686	1165	531
687	1167	529
688	1168	527
689	1169	525
690	1170	523
691	1172	521
692	1173	519
693	1175	518
694	1176	516
695	1177	514
696	1178	512
697	1180	510
698	1181	508
699	1182	506
700	1183	504
701	1185	503
702	1186	501
703	1187	499
704	1189	497
705	1190	495
706	1191	493
707	1192	492
708	1194	490
709	1195	488
710	1196	486
711	1197	484
712	1199	482
713	1200	480
714	1202	479
715	1203	477
716	1204	475
717	1205	473
718	1207	471
719	1208	469
720	1209	468
721	1210	466
722	1212	464
723	1213	462
724	1215	460
725	1216	459
726	1218	457
727	1219	455
728	1220	453
729	1222	451
730	1223	450
731	1224	448
732	1225	446
733	1227	444
734	1228	443
735	1230	441
736	1231	439
737	1233	437
738	1234	435
739	1235	434
740	1236	432
741	1238	430
742	1239	428
743	1240	426
744	1242	425
745	1243	423
746	1244	421
747	1246	419
748	1247	418
749	1248	416
750	1250	414
751	1251	412
752	1252	410
753	1253	409
754	1254	407
755	1256	405
756	1257	403
757	1258	401
758	1259	400
759	1261	398
760	1263	396
761	1264	394
762	1265	393
763	1267	391
764	1268	389
765	1269	387
766	1270	386
767	1272	384
768	1273	382
769	1274	380
770	1276	379
771	1277	377
772	1278	375
773	1280	373
774	1281	372
775	1282	370
776	1283	368
777	1285	366
778	1286	364
779	1287	363
780	1288	361
781	1290	359
782	1291	358
783	1293	356
784	1294	354
785	1295	352
786	1296	350
787	1298	349
788	1299	347
789	1300	345
790	1302	344
791	1303	342
792	1305	340
793	1306	339
794	1308	337
795	1309	335
796	1310	333
797	1312	332
798	1313	330
799	1314	328
800	1315	326
801	1317	325
802	1318	323
803	1319	321
804	1321	320
805	1322	318
806	1323	316
807	1325	314
808	1326	313
809	1328	311
810	1329	309
811	1330	308
812	1332	306
813	1333	304
814	1335	303
815	1337	301
816	1338	299
817	1339	298
818	1341	296
819	1342	294
820	1343	292
821	1344	291
822	1346	289
823	1347	287
824	1348	286
825	1350	284
826	1352	282
827	1353	281
828	1354	279
829	1356	277
830	1357	276
831	1358	274
832	1359	272
833	1361	270
834	1362	269
835	1363	267
836	1365	265
837	1366	264
838	1368	262
839	1369	260
840	1370	259
841	1372	257
842	1373	255
843	1374	254
844	1375	252
845	1377	250
846	1378	249
847	1380	247
848	1381	245
849	1383	244
850	1384	242
851	1385	240
852	1386	239
853	1388	237
854	1389	235
855	1390	233
856	1392	232
857	1393	230
858	1394	228
859	1396	227
860	1397	225
861	1398	223
862	1400	222
863	1401	220
864	1402	218
865	1404	217
866	1405	215
867	1406	213
868	1407	212
869	1409	210
870	1410	208
871	1412	207
872	1413	205
873	1414	203
874	1415	202
875	1417	200
876	1418	198
877	1419	197
878	1420	195
879	1422	193
880	1423	192
881	1424	190
882	1426	188
883	1427	187
884	1428	185
885	1429	183
886	1431	182
887	1432	180
888	1433	179
889	1434	177
890	1436	175
891	1437	174
892	1438	172
893	1440	170
894	1441	169
895	1442	167
896	1444	165
897	1445	164
898	1446	162
899	1447	160
900	1449	159
901	1450	157
902	1451	155
903	1452	154
904	1454	152
905	1455	151
906	1457	149
907	1458	147
908	1459	146
909	1460	144
910	1461	142
911	1463	141
912	1464	139
913	1465	137
914	1466	136
915	1468	134
916	1469	133
917	1471	131
918	1472	129
919	1473	128
920	1474	126
921	1476	124
922	1477	123
923	1478	121
924	1479	119
925	1480	118
926	1482	116
927	1483	115
928	1484	113
929	1486	111
930	1487	110
931	1488	108
932	1489	106
933	1491	105
934	1492	103
935	1493	102
936	1494	100
937	1495	98
938	1497	97
939	1498	95
940	1499	94
941	1501	92
942	1502	90
943	1503	89
944	1504	87
945	1506	85
946	1507	84
947	1508	82
948	1509	81
949	1510	79
950	1512	77
951	1514	76
952	1515	74
953	1516	73
954	1518	71
955	1519	69
956	1520	68
957	1522	66
958	1523	65
959	1524	63
960	1525	61
961	1526	60
962	1528	58
963	1529	57
964	1531	55
965	1532	53
966	1533	52
967	1535	50
968	1536	49
969	1537	47
970	1538	45
971	1539	44
972	1541	42
973	1542	41
974	1543	39
975	1545	37
976	1546	36
977	1547	34
978	1549	33
979	1550	31
980	1551	30
981	1552	28
982	1553	26
983	1555	25
984	1556	23
985	1557	22
986	1558	20
987	1560	18
988	1561	17
989	1562	15
990	1564	14
991	1565	12
992	1566	11
993	1567	9
994	1568	7
995	1570	6
996	1571	4
997	1572	3
998	1573	1
999	1575	0
